Cell      #Total Tweets    #Overal Sentiment Score
------  ---------------  -------------------------
A1                 2752                        752
A2                 4904                       4180
A3                 5824                       2766
A4                  381                         50
B1                21232                      11877
B2               107386                      33161
B3                34494                      20586
B4                 6643                       5796
C1                10643                       7796
C2               246925                     194766
C3                69901                      42382
C4                26097                      19871
C5                 5581                       2726
D3                16318                       8297
D4                16666                       9806
D5                 4705                       3838
time taken for this script to run --- 121.232209 seconds ---
